Circle,700 MHz,800 MHz,900 MHz,1800 MHz,2100 MHz,2300MHZ,2500MHz
AP,54.20,33.82,0.00,13.56,15.18,7.59,7.59
Assam,24.79,0.00,0.00,6.28,7.22,0.63,0.63
Bihar,9.28,5.09,16.61,2.32,3.22,0.45,0.45
Delhi,438.24,233.00,0.00,109.63,152.22,78.58,78.58
Gujarat,75.94,22.73,53.69,18.99,20.58,6.22,6.22
Haryana,35.77,10.96,0.00,9.04,10.58,0.00,3.08
HP,43.03,16.14,0.00,10.76,13.45,1.34,1.34
J&K,19.59,0.00,0.00,4.90,4.14,0.00,0.75
K'Taka,57.61,23.59,0.00,14.40,25.53,15.26,15.26
Kerala,44.84,32.63,0.00,11.14,23.76,4.30,4.30
Kolkata,179.72,48.25,0.00,44.93,34.98,19.90,19.90
MP,16.59,20.45,0.00,4.16,6.17,0.80,0.80
MH,85.95,53.99,0.00,21.49,23.04,7.84,7.84
Mumbai,276.78,168.81,0.00,69.20,107.04,67.80,67.80
NE,15.49,0.00,0.00,3.87,4.22,0.70,0.70
Odisha,17.56,6.58,0.00,4.39,4.39,0.92,0.92
Punjab,51.75,19.99,0.00,12.94,15.29,0.00,7.06
RJ,26.21,14.69,0.00,6.55,10.08,0.00,0.86
TN,61.33,24.53,0.00,0.00,23.44,17.99,17.99
UP (E ),22.45,10.71,37.96,5.63,5.38,0.00,0.88
UP (W ),17.07,8.09,32.85,4.27,4.93,0.00,1.07
WB,9.34,4.18,0.00,2.35,2.65,0.51,0.51
