Circle,700 MHz,800 MHz,900 MHz,1800 MHz,2100 MHz,2300 MHz,2500 MHz
AP,17.5,3.75,0,2.2,10,20,40
Assam,17.5,1.25,0,9.9,7.5,20,20
Bihar,17.5,1.25,2.3,6.1,10,20,20
Delhi,17.5,3.13,1.5,6.4,10,20,40
Gujarat,17.5,0.63,0,6.5,7.5,20,20
Haryana,17.5,1.88,0,7.7,7.5,20,20
HP,17.5,1.25,0,5.7,10,20,20
J&K,17.5,1.25,0,16,7.5,20,20
K'Taka,17.5,1.25,0,2.1,7.5,20,40
Kerala,17.5,1.25,0,1,7.5,20,20
Kolkata,17.5,1.25,0,2,7.5,20,40
MP,17.5,1.25,0,2.3,7.5,20,20
MH,17.5,3.75,0,6.7,7.5,20,40
Mumbai,17.5,2.5,0,2.5,10,20,20
NE,17.5,1.88,0,4.6,7.5,20,20
Odisha,17.5,3.13,0,0.6,10,20,20
Punjab,17.5,3.75,0,7.7,7.5,20,20
RJ,17.5,1.25,0,5.5,7.5,20,20
TN,17.5,1.88,0,0,7.5,20,40
UP (E ),17.5,1.88,0.3,2.7,7.5,20,20
UP (W ),17.5,1.25,0.6,7.3,7.5,20,20
WB,17.5,0.63,0,9.2,7.5,20,20
